threshold,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,false_positive_cost,false_negative_cost,total_cost
0.1,0.2196,0.6742,0.3313,6393,2545,346,716,1272500,692000,1964500
0.15,0.2773,0.5527,0.3693,7408,1530,475,587,765000,950000,1715000
0.2,0.3251,0.4576,0.3801,7929,1009,576,486,504500,1152000,1656500
0.25,0.3718,0.3917,0.3815,8235,703,646,416,351500,1292000,1643500
0.3,0.4075,0.3296,0.3644,8429,509,712,350,254500,1424000,1678500
0.35,0.4478,0.2787,0.3436,8573,365,766,296,182500,1532000,1714500
0.4,0.4953,0.2486,0.331,8669,269,798,264,134500,1596000,1730500
0.45,0.5319,0.2043,0.2952,8747,191,845,217,95500,1690000,1785500
0.5,0.568,0.1573,0.2463,8811,127,895,167,63500,1790000,1853500
0.55,0.6036,0.1262,0.2087,8850,88,928,134,44000,1856000,1900000
0.6,0.642,0.0979,0.1699,8880,58,958,104,29000,1916000,1945000
0.65,0.7255,0.0697,0.1271,8910,28,988,74,14000,1976000,1990000
0.7,0.8,0.049,0.0923,8925,13,1010,52,6500,2020000,2026500
0.75,0.8718,0.032,0.0618,8933,5,1028,34,2500,2056000,2058500
0.8,0.84,0.0198,0.0386,8934,4,1041,21,2000,2082000,2084000
0.85,0.8333,0.0094,0.0186,8936,2,1052,10,1000,2104000,2105000
0.9,1.0,0.0028,0.0056,8938,0,1059,3,0,2118000,2118000
