Threshold,Precision,Recall,F1,FP,FN,FP_Cost,FN_Cost,Total_Cost
0.05,0.14733333333333334,1.0,0.2568274259151656,6395,0,3197500,0,3197500
0.1,0.14733333333333334,1.0,0.2568274259151656,6395,0,3197500,0,3197500
0.15,0.15337337616985613,0.9936651583710407,0.26573088092933206,6061,7,3030500,14000,3044500
0.2,0.17754223252732693,0.9701357466063348,0.3001539969200616,4966,33,2483000,66000,2549000
0.25,0.20349293563579277,0.9384615384615385,0.3344621835187873,4059,68,2029500,136000,2165500
0.3,0.23608124253285542,0.8941176470588236,0.37353497164461247,3197,117,1598500,234000,1832500
0.35,0.2676725342274378,0.8669683257918552,0.40905209222886424,2621,147,1310500,294000,1604500
0.4,0.2968243681140635,0.8289592760180996,0.4371271772846576,2170,189,1085000,378000,1463000
0.45,0.3258173618940248,0.7846153846153846,0.4604354753053638,1794,238,897000,476000,1373000
0.5,0.3638790035587189,0.7402714932126697,0.48792126453921864,1430,287,715000,574000,1289000
0.55,0.402028830752803,0.681447963800905,0.5057085292142377,1120,352,560000,704000,1264000
0.6,0.4383116883116883,0.6108597285067874,0.5103969754253308,865,430,432500,860000,1292500
0.65,0.4840764331210191,0.5502262443438914,0.5150360016941974,648,497,324000,994000,1318000
0.7,0.5396188565697091,0.48687782805429863,0.5118934348239772,459,567,229500,1134000,1363500
0.75,0.5981794538361509,0.416289592760181,0.49092849519743864,309,645,154500,1290000,1444500
0.8,0.6606498194945848,0.33122171945701356,0.4412296564195298,188,739,94000,1478000,1572000
0.85,0.7449856733524355,0.23529411764705882,0.3576341127922971,89,845,44500,1690000,1734500
0.9,0.791907514450867,0.12398190045248869,0.21439749608763695,36,968,18000,1936000,1954000
0.95,0.9090909090909091,0.027149321266968326,0.05272407732864675,3,1075,1500,2150000,2151500
